Observation URI,references,refArea,PercentageofEducationlevelofresidents-illeterate,PercentageofSchooldropout,PercentageofEducationlevelofresidents-university,publisher,PercentageofEducationlevelofresidents-secondary,PercentageofEducationlevelofresidents-intermediate,PercentageofEducationlevelofresidents-vocational,PercentageofEducationlevelofresidents-elementary,PercentageofEducationlevelofresidents-highereducation,refArea District,refArea Governorate,Town,dataset
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-+Bireh,https://impact.cib.gov.lb/home#open_data_section,nan,2e+00,2e+00,1.5e+01,Impact Open Data,1.5e+01,3e+01,1e+01,2.5e+01,3e+00,Chouf_District,Mount_Lebanon_Governorate, Bireh,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-A%27ain+El-Mir+%28El+Establ%29,https://impact.cib.gov.lb/home#open_data_section,nan,NaN,NaN,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Jezzine_District,South_Governorate,A'ain El-Mir (El Establ),Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-AAridet+Cheikh+Zennad,https://impact.cib.gov.lb/home#open_data_section,nan,1.5e+01,2e+00,0e+00,Impact Open Data,0e+00,3e+01,0e+00,5e+01,5e+00,Akkar_District,Akkar_Governorate,AAridet Cheikh Zennad,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aaba,https://impact.cib.gov.lb/home#open_data_section,nan,5e+00,1e+00,2e+01,Impact Open Data,1.5e+01,2e+01,1e+01,1e+01,2e+01,Koura_District,North_Governorate,Aaba,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabadiyeh,https://impact.cib.gov.lb/home#open_data_section,nan,3e+00,5e+00,1.7e+01,Impact Open Data,3e+01,2e+01,3e+00,1.7e+01,1e+01,Baabda_District,Mount_Lebanon_Governorate,Aabadiyeh,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabaydat,https://impact.cib.gov.lb/home#open_data_section,nan,2e+00,2e+00,1.8e+01,Impact Open Data,5e+01,1.8e+01,2e+00,1e+01,0e+00,Byblos_District,Mount_Lebanon_Governorate,Aabaydat,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabba,https://impact.cib.gov.lb/home#open_data_section,nan,NaN,NaN,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Nabatieh_District,Nabatieh_Governorate,Aabba,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabbesiyyi,https://impact.cib.gov.lb/home#open_data_section,nan,3e+00,5e+00,2e+01,Impact Open Data,2e+01,3e+01,2e+01,5e+00,2e+00,Tyre_District,South_Governorate,Aabbesiyyi,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabdine,https://impact.cib.gov.lb/home#open_data_section,nan,2e+00,0e+00,4e+01,Impact Open Data,2e+01,1e+01,5e+00,5e+00,1.8e+01,Bsharri_District,North_Governorate,Aabdine,Educational_Level-Lebanon-2023
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabra+Saida,https://impact.cib.gov.lb/home#open_data_section,nan,5e+00,5e+01,3e+01,Impact Open Data,1e+01,2.5e+01,1e+01,1.5e+01,5e+00,Sidon_District,South_Governorate,Aabra Saida,Educational_Level-Lebanon-2023
