Observation URI,references,refArea,Indicator Code,Value,publisher,dataset,refPeriod
http://linked.aub.edu.lb/CODEC/Lebanon/observation/social-development-Lebanon-SE.ADT.1524.LT.FM.ZS-2007,https://data.humdata.org/dataset/world-bank-social-development-indicators-for-lebanon,Lebanon,SE.ADT.1524.LT.FM.ZS,1.00693e+00,The World Bank,social-development-Lebanon,2007
http://linked.aub.edu.lb/CODEC/Lebanon/observation/social-development-Lebanon-SE.ADT.1524.LT.FM.ZS-2009,https://data.humdata.org/dataset/world-bank-social-development-indicators-for-lebanon,Lebanon,SE.ADT.1524.LT.FM.ZS,1.00176e+00,The World Bank,social-development-Lebanon,2009
http://linked.aub.edu.lb/CODEC/Lebanon/observation/social-development-Lebanon-SE.ADT.1524.LT.FM.ZS-2019,https://data.humdata.org/dataset/world-bank-social-development-indicators-for-lebanon,Lebanon,SE.ADT.1524.LT.FM.ZS,1.0016e+00,The World Bank,social-development-Lebanon,2019
http://linked.aub.edu.lb/CODEC/Lebanon/observation/social-development-Lebanon-SE.ENR.PRIM.FM.ZS-1971,https://data.humdata.org/dataset/world-bank-social-development-indicators-for-lebanon,Lebanon,SE.ENR.PRIM.FM.ZS,8.6181e-01,The World Bank,social-development-Lebanon,1971
http://linked.aub.edu.lb/CODEC/Lebanon/observation/social-development-Lebanon-SE.ENR.PRIM.FM.ZS-1974,https://data.humdata.org/dataset/world-bank-social-development-indicators-for-lebanon,Lebanon,SE.ENR.PRIM.FM.ZS,9.3293e-01,The World Bank,social-development-Lebanon,1974
http://linked.aub.edu.lb/CODEC/Lebanon/observation/social-development-Lebanon-SE.ENR.PRIM.FM.ZS-1982,https://data.humdata.org/dataset/world-bank-social-development-indicators-for-lebanon,Lebanon,SE.ENR.PRIM.FM.ZS,9.3665e-01,The World Bank,social-development-Lebanon,1982
http://linked.aub.edu.lb/CODEC/Lebanon/observation/social-development-Lebanon-SE.ENR.PRIM.FM.ZS-1983,https://data.humdata.org/dataset/world-bank-social-development-indicators-for-lebanon,Lebanon,SE.ENR.PRIM.FM.ZS,9.1412e-01,The World Bank,social-development-Lebanon,1983
http://linked.aub.edu.lb/CODEC/Lebanon/observation/social-development-Lebanon-SE.ENR.PRIM.FM.ZS-1985,https://data.humdata.org/dataset/world-bank-social-development-indicators-for-lebanon,Lebanon,SE.ENR.PRIM.FM.ZS,9.1153e-01,The World Bank,social-development-Lebanon,1985
http://linked.aub.edu.lb/CODEC/Lebanon/observation/social-development-Lebanon-SE.ENR.PRSC.FM.ZS-1971,https://data.humdata.org/dataset/world-bank-social-development-indicators-for-lebanon,Lebanon,SE.ENR.PRSC.FM.ZS,8.0903e-01,The World Bank,social-development-Lebanon,1971
http://linked.aub.edu.lb/CODEC/Lebanon/observation/social-development-Lebanon-SE.ENR.PRSC.FM.ZS-1982,https://data.humdata.org/dataset/world-bank-social-development-indicators-for-lebanon,Lebanon,SE.ENR.PRSC.FM.ZS,9.6921e-01,The World Bank,social-development-Lebanon,1982
